Pokedex Number,Pokemon Name,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
127,Pinsir,Mega,NULL,1.7,59,Bug,Flying,Aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,X / Y,Kalos,65,155,120,65,90,105,600,0,2,0,0,0,0,2,45,Slow,1250000,210,Bug,NULL,25,NULL,NULL
128,Tauros,NULL,NULL,1.4,88.4,Normal,NULL,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,NULL,NULL,100,0,70,Red / Blue / Yellow,Kanto,75,100,95,70,0,110,450,0,1,0,0,0,1,2,45,Slow,1250000,172,Field,NULL,20,NULL,NULL
129,Magikarp,NULL,NULL,0.9,10,Water,NULL,Swift Swim,Boosts the Pokémon's Speed stat in rain.,NULL,NULL,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,20,10,55,20,0,80,185,0,0,0,0,0,1,1,255,Slow,1250000,40,Water 2,Dragon,5,NULL,NULL
130,Gyarados,NULL,NULL,6.5,235,Water,Flying,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",NULL,NULL,Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,95,125,79,100,0,81,480,0,2,0,0,0,0,2,45,Slow,1250000,189,Water 2,Dragon,5,225,Level 20
130,Gyarados,Mega,NULL,6.5,305,Water,Dark,Mold Breaker,Moves can be used on the target regardless of its Abilities.,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,X / Y,Kalos,95,155,109,70,130,81,640,0,2,0,0,0,0,2,45,Slow,1250000,224,Water 2,Dragon,5,NULL,NULL
131,Lapras,NULL,NULL,2.5,220,Water,Ice,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Shell Armor,A hard shell protects the Pokémon from critical hits.,Hydration,Heals status conditions if it's raining.,NULL,NULL,50,50,70,Red / Blue / Yellow,Kanto,130,85,80,95,0,60,450,2,0,0,0,0,0,2,45,Slow,1250000,187,Monster,Water 1,40,NULL,NULL
131,Lapras,Gigantamax,NULL,24,0,Water,Ice,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Shell Armor,A hard shell protects the Pokémon from critical hits.,Hydration,Heals status conditions if it's raining.,NULL,NULL,50,50,70,Sword / Shield,Galar,130,85,80,85,95,60,535,2,0,0,0,0,0,2,45,Slow,1250000,187,Monster,Water 1,40,NULL,NULL
132,Ditto,NULL,NULL,0.3,4,Normal,NULL,Limber,Its limber body protects the Pokémon from paralysis.,NULL,NULL,Imposter,The Pokémon transforms itself into the Pokémon it's facing.,NULL,NULL,0,0,70,Red / Blue / Yellow,Kanto,48,48,48,48,0,48,240,1,0,0,0,0,0,1,35,Medium Fast,1000000,101,Ditto,NULL,20,NULL,NULL
133,Eevee,NULL,NULL,0.3,6.5,Normal,NULL,Run Away,Enables a sure getaway from wild Pokémon.,Adaptability,Powers up moves of the same type as the Pokémon.,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,55,55,50,65,0,55,280,0,0,0,0,1,0,1,45,Medium Fast,1000000,65,Field,NULL,35,NULL,NULL
133,Eevee,Gigantamax,NULL,18,0,Normal,NULL,Run Away,Enables a sure getaway from wild Pokémon.,Adaptability,Powers up moves of the same type as the Pokémon.,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,NULL,NULL,87.5,12.5,70,Sword / Shield,Galar,55,55,50,45,65,55,325,0,0,0,0,1,0,1,45,Medium Fast,1000000,65,Field,NULL,35,NULL,NULL
133,Eevee,Starter,NULL,0.3,6.5,Normal,NULL,Run Away,Enables a sure getaway from wild Pokémon.,Adaptability,Powers up moves of the same type as the Pokémon.,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,NULL,NULL,87.5,12.5,70,Let's Go Pikachu / Let's Go Eevee,Alola,65,75,70,65,85,75,435,0,0,0,0,1,0,1,45,Medium Fast,1000000,65,Field,NULL,35,NULL,NULL
134,Vaporeon,NULL,NULL,1,29,Water,NULL,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,NULL,NULL,Hydration,Heals status conditions if it's raining.,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,130,65,60,110,0,65,430,2,0,0,0,0,0,2,45,Medium Fast,1000000,184,Field,NULL,35,228,Water Stone
135,Jolteon,NULL,NULL,0.8,24.5,Electric,NULL,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.,NULL,NULL,Quick Feet,Boosts the Speed stat if the Pokémon has a status condition.,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,65,65,60,110,0,130,430,0,0,0,0,0,2,2,45,Medium Fast,1000000,184,Field,NULL,35,228,Thunder Stone
136,Flareon,NULL,NULL,0.9,25,Fire,NULL,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,NULL,NULL,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,65,130,60,110,0,65,430,0,2,0,0,0,0,2,45,Medium Fast,1000000,184,Field,NULL,35,228,Fire Stone
137,Porygon,NULL,NULL,0.8,36.5,Normal,NULL,Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon's Ability.",Download,Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.,Analytic,Boosts move power when the Pokémon moves last.,NULL,NULL,0,0,70,Red / Blue / Yellow,Kanto,65,60,70,75,0,40,310,0,0,0,1,0,0,1,45,Medium Fast,1000000,79,Mineral,NULL,20,NULL,NULL
138,Omanyte,NULL,NULL,0.4,7.5,Rock,Water,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Shell Armor,A hard shell protects the Pokémon from critical hits.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,35,40,100,90,0,35,300,0,0,1,0,0,0,1,45,Medium Fast,1000000,71,Water 1,Water 3,30,NULL,NULL
139,Omastar,NULL,NULL,1,35,Rock,Water,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Shell Armor,A hard shell protects the Pokémon from critical hits.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,70,60,125,115,0,55,425,0,0,2,0,0,0,2,45,Medium Fast,1000000,173,Water 1,Water 3,30,233,Level 40
140,Kabuto,NULL,NULL,0.5,11.5,Rock,Water,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Battle Armor,Hard armor protects the Pokémon from critical hits.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,30,80,90,45,0,55,300,0,0,1,0,0,0,1,45,Medium Fast,1000000,71,Water 1,Water 3,30,NULL,NULL
141,Kabutops,NULL,NULL,1.3,40.5,Rock,Water,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Battle Armor,Hard armor protects the Pokémon from critical hits.,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,60,115,105,70,0,80,430,0,2,0,0,0,0,2,45,Medium Fast,1000000,173,Water 1,Water 3,30,235,Level 40
142,Aerodactyl,NULL,NULL,1.8,59,Rock,Flying,Rock Head,Protects the Pokémon from recoil damage.,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,80,105,65,60,0,130,440,0,0,0,0,0,2,2,45,Slow,1250000,180,Flying,NULL,35,NULL,NULL
142,Aerodactyl,Mega,NULL,2.1,79,Rock,Flying,Tough Claws,Powers up moves that make direct contact. ,NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,X / Y,Kalos,80,135,85,70,95,150,615,0,0,0,0,0,2,2,45,Slow,1250000,215,Flying,NULL,35,NULL,NULL
143,Snorlax,NULL,NULL,2.1,460,Normal,NULL,Immunity,The immune system of the Pokémon prevents it from getting poisoned.,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",NULL,NULL,87.5,12.5,70,Red / Blue / Yellow,Kanto,160,110,65,65,0,30,430,2,0,0,0,0,0,2,25,Slow,1250000,189,Monster,NULL,40,644,NULL
143,Snorlax,Gigantamax,NULL,35,0,Normal,NULL,Immunity,The immune system of the Pokémon prevents it from getting poisoned.,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",NULL,NULL,87.5,12.5,70,Sword / Shield,Galar,160,110,65,65,110,30,540,2,0,0,0,0,0,2,25,Slow,1250000,189,Monster,NULL,40,NULL,NULL
144,Articuno,NULL,Sub-Legendary,1.7,55.4,Ice,Flying,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NULL,NULL,Snow Cloak,Boosts evasiveness in a hailstorm.,NULL,NULL,0,0,35,Red / Blue / Yellow,Kanto,90,85,100,125,0,85,485,0,0,0,0,3,0,3,3,Slow,1250000,261,Undiscovered,NULL,80,NULL,NULL
144,Articuno,Galar,Sub-Legendary,1.7,50.9,Psychic,Flying,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,35,Sword / Shield,Galar,90,85,85,125,100,95,580,0,0,0,3,0,0,3,3,Slow,1250000,290,Undiscovered,NULL,80,NULL,NULL
145,Zapdos,NULL,Sub-Legendary,1.6,52.6,Electric,Flying,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NULL,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,0,0,35,Red / Blue / Yellow,Kanto,90,90,85,125,0,100,490,0,0,0,3,0,0,3,3,Slow,1250000,261,Undiscovered,NULL,80,NULL,NULL
145,Zapdos,Galar,Sub-Legendary,1.6,58.2,Fighting,Flying,Defiant,Boosts the Pokémon's Attack stat sharply when its stats are lowered.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,35,Sword / Shield,Galar,90,125,90,85,90,100,580,0,3,0,0,0,0,3,3,Slow,1250000,290,Undiscovered,NULL,80,NULL,NULL
146,Moltres,NULL,Sub-Legendary,2,60,Fire,Flying,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NULL,NULL,Flame Body,Contact with the Pokémon may burn the attacker.,NULL,NULL,0,0,35,Red / Blue / Yellow,Kanto,90,100,90,125,0,90,495,0,0,0,3,0,0,3,3,Slow,1250000,261,Undiscovered,NULL,80,NULL,NULL
146,Moltres,Galar,Sub-Legendary,2,66,Dark,Flying,Berserk,Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to become half or less.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,35,Sword / Shield,Galar,90,85,90,100,125,90,580,0,0,0,0,3,0,3,3,Slow,1250000,290,Undiscovered,NULL,80,NULL,NULL
147,Dratini,NULL,NULL,1.8,3.3,Dragon,NULL,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,NULL,NULL,Marvel Scale,The Pokémon's marvelous scales boost the Defense stat if it has a status condition.,NULL,NULL,50,50,35,Red / Blue / Yellow,Kanto,41,64,45,50,0,50,250,0,1,0,0,0,0,1,45,Slow,1250000,60,Water 1,Dragon,40,NULL,NULL
148,Dragonair,NULL,NULL,4,16.5,Dragon,NULL,Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,NULL,NULL,Marvel Scale,The Pokémon's marvelous scales boost the Defense stat if it has a status condition.,NULL,NULL,50,50,35,Red / Blue / Yellow,Kanto,61,84,65,70,0,70,350,0,2,0,0,0,0,2,45,Slow,1250000,147,Water 1,Dragon,40,242,Level 30
149,Dragonite,NULL,NULL,2.2,210,Dragon,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",NULL,NULL,Multiscale,Reduces the amount of damage the Pokémon takes while its HP is full.,NULL,NULL,50,50,35,Red / Blue / Yellow,Kanto,91,134,95,100,0,80,500,0,3,0,0,0,0,3,45,Slow,1250000,270,Water 1,Dragon,40,243,Level 55
150,Mewtwo,NULL,Legendary,2,122,Psychic,NULL,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NULL,NULL,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,NULL,NULL,0,0,0,Red / Blue / Yellow,Kanto,106,110,90,154,0,130,590,0,0,0,3,0,0,3,3,Slow,1250000,306,Undiscovered,NULL,120,NULL,NULL
150,Mewtwo,Mega X,Legendary,2.3,127,Psychic,NULL,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,X / Y,Kalos,106,190,100,154,100,130,780,0,0,0,3,0,0,3,3,Slow,1250000,351,Undiscovered,NULL,120,NULL,NULL
150,Mewtwo,Mega Y,Legendary,1.5,33,Psychic,NULL,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,X / Y,Kalos,106,150,70,194,120,140,780,0,0,0,3,0,0,3,3,Slow,1250000,351,Undiscovered,NULL,120,NULL,NULL
151,Mew,NULL,Mythical,0.4,4,Psychic,NULL,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,100,Red / Blue / Yellow,Kanto,100,100,100,100,0,100,500,3,0,0,0,0,0,3,45,Medium Slow,1059860,270,Undiscovered,NULL,120,NULL,NULL
152,Chikorita,NULL,NULL,0.9,6.4,Grass,NULL,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Leaf Guard,Prevents status conditions in harsh sunlight.,NULL,NULL,87.5,12.5,70,Gold / Silver / Crystal,Johto,45,49,65,49,65,45,318,0,0,0,0,1,0,1,45,Medium Slow,1059860,64,Monster,Grass,20,NULL,NULL
153,Bayleef,NULL,NULL,1.2,15.8,Grass,NULL,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Leaf Guard,Prevents status conditions in harsh sunlight.,NULL,NULL,87.5,12.5,70,Gold / Silver / Crystal,Johto,60,62,80,63,80,60,405,0,0,1,0,1,0,2,45,Medium Slow,1059860,142,Monster,Grass,20,245,Level 16
154,Meganium,NULL,NULL,1.8,100.5,Grass,NULL,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Leaf Guard,Prevents status conditions in harsh sunlight.,NULL,NULL,87.5,12.5,70,Gold / Silver / Crystal,Johto,80,82,100,83,100,80,525,0,0,1,0,2,0,3,45,Medium Slow,1059860,236,Monster,Grass,20,246,Level 32
155,Cyndaquil,NULL,NULL,0.5,7.9,Fire,NULL,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,NULL,NULL,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,NULL,NULL,87.5,12.5,70,Gold / Silver / Crystal,Johto,39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,Medium Slow,1059860,62,Field,NULL,20,NULL,NULL
156,Quilava,NULL,NULL,0.9,19,Fire,NULL,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,NULL,NULL,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,NULL,NULL,87.5,12.5,70,Gold / Silver / Crystal,Johto,58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,Medium Slow,1059860,142,Field,NULL,20,248,Level 14
157,Typhlosion,NULL,NULL,1.7,79.5,Fire,NULL,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,NULL,NULL,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,NULL,NULL,87.5,12.5,70,Gold / Silver / Crystal,Johto,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,Medium Slow,1059860,240,Field,NULL,20,249,Level 36
158,Totodile,NULL,NULL,0.6,9.5,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,NULL,NULL,Sheer Force,Removes additional effects to increase the power of moves when attacking.,NULL,NULL,87.5,12.5,70,Gold / Silver / Crystal,Johto,50,65,64,44,48,43,314,0,1,0,0,0,0,1,45,Medium Slow,1059860,63,Monster,Water 1,20,NULL,NULL
159,Croconaw,NULL,NULL,1.1,25,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,NULL,NULL,Sheer Force,Removes additional effects to increase the power of moves when attacking.,NULL,NULL,87.5,12.5,70,Gold / Silver / Crystal,Johto,65,80,80,59,63,58,405,0,1,1,0,0,0,2,45,Medium Slow,1059860,142,Monster,Water 1,20,251,Level 18
160,Feraligatr,NULL,NULL,2.3,88.8,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,NULL,NULL,Sheer Force,Removes additional effects to increase the power of moves when attacking.,NULL,NULL,87.5,12.5,70,Gold / Silver / Crystal,Johto,85,105,100,79,83,78,530,0,2,1,0,0,0,3,45,Medium Slow,1059860,239,Monster,Water 1,20,252,Level 30
161,Sentret,NULL,NULL,0.8,6,Normal,NULL,Run Away,Enables a sure getaway from wild Pokémon.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,35,46,34,35,45,20,215,0,1,0,0,0,0,1,255,Medium Fast,1000000,43,Field,NULL,15,NULL,NULL
162,Furret,NULL,NULL,1.8,32.5,Normal,NULL,Run Away,Enables a sure getaway from wild Pokémon.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,85,76,64,45,55,90,415,0,0,0,0,0,2,2,90,Medium Fast,1000000,145,Field,NULL,15,254,Level 15
163,Hoothoot,NULL,NULL,0.7,21.2,Normal,Flying,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,60,30,30,36,56,50,262,1,0,0,0,0,0,1,255,Medium Fast,1000000,52,Flying,NULL,15,NULL,NULL
164,Noctowl,NULL,NULL,1.6,40.8,Normal,Flying,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,100,50,50,86,96,70,452,2,0,0,0,0,0,2,90,Medium Fast,1000000,158,Flying,NULL,15,256,Level 20
165,Ledyba,NULL,NULL,1,10.8,Bug,Flying,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,40,20,30,40,80,55,265,0,0,0,0,1,0,1,255,Fast,800000,53,Bug,NULL,15,NULL,NULL
166,Ledian,NULL,NULL,1.4,35.6,Bug,Flying,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Iron Fist,Powers up punching moves.,NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,55,35,50,55,110,85,390,0,0,0,0,2,0,2,90,Fast,800000,137,Bug,NULL,15,258,Level 18
167,Spinarak,NULL,NULL,0.5,8.5,Bug,Poison,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Sniper,Powers up moves if they become critical hits when attacking.,NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,40,60,40,40,40,30,250,0,1,0,0,0,0,1,255,Fast,800000,50,Bug,NULL,15,NULL,NULL
168,Ariados,NULL,NULL,1.1,33.5,Bug,Poison,Swarm,Powers up Bug-type moves when the Pokémon's HP is low.,Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.,Sniper,Powers up moves if they become critical hits when attacking.,NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,70,90,70,60,70,40,400,0,2,0,0,0,0,2,90,Fast,800000,140,Bug,NULL,15,260,Level 22
169,Crobat,NULL,NULL,1.8,75,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",NULL,NULL,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,85,90,80,70,80,130,535,0,0,0,0,0,3,3,90,Medium Fast,1000000,241,Flying,NULL,15,62,NULL
170,Chinchou,NULL,NULL,0.5,12,Water,Electric,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,75,38,38,56,56,67,330,1,0,0,0,0,0,1,190,Slow,1250000,66,Water 2,NULL,20,NULL,NULL
171,Lanturn,NULL,NULL,1.2,22.5,Water,Electric,Volt Absorb,Restores HP if hit by an Electric-type move instead of taking damage.,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,125,58,58,76,76,67,460,2,0,0,0,0,0,2,75,Slow,1250000,161,Water 2,NULL,20,262,Level 27
172,Pichu,NULL,NULL,0.3,2,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,20,40,15,35,35,60,205,0,0,0,0,0,1,1,190,Medium Fast,1000000,41,Undiscovered,NULL,10,NULL,NULL
173,Cleffa,NULL,NULL,0.3,3,Fairy,NULL,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Bounce,Reflects status moves instead of getting hit by them.,Friend Guard,Reduces damage done to allies.,NULL,NULL,25,75,140,Gold / Silver / Crystal,Johto,50,25,28,45,55,15,218,0,0,0,0,1,0,1,150,Fast,800000,44,Undiscovered,NULL,10,NULL,NULL
174,Igglybuff,NULL,NULL,0.3,1,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,NULL,NULL,25,75,70,Gold / Silver / Crystal,Johto,90,30,15,40,20,15,210,1,0,0,0,0,0,1,170,Fast,800000,45,Undiscovered,NULL,10,NULL,NULL
175,Togepi,NULL,NULL,0.3,1.5,Fairy,NULL,Hustle,"Boosts the Attack stat, but lowers accuracy.",Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,NULL,NULL,87.5,12.5,70,Gold / Silver / Crystal,Johto,35,20,65,40,65,20,245,0,0,0,0,1,0,1,190,Fast,800000,49,Undiscovered,NULL,10,NULL,NULL
176,Togetic,NULL,NULL,0.6,3.2,Fairy,Flying,Hustle,"Boosts the Attack stat, but lowers accuracy.",Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,NULL,NULL,87.5,12.5,70,Gold / Silver / Crystal,Johto,55,40,85,80,105,40,405,0,0,0,0,2,0,2,75,Fast,800000,142,Flying,Fairy,10,264,NULL
177,Natu,NULL,NULL,0.2,2,Psychic,Flying,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Magic Bounce,Reflects status moves instead of getting hit by them.,NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,40,50,45,70,45,70,320,0,0,0,1,0,0,1,190,Medium Fast,1000000,64,Flying,NULL,20,NULL,NULL
178,Xatu,NULL,NULL,1.5,15,Psychic,Flying,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.",Early Bird,The Pokémon awakens from sleep twice as fast as other Pokémon.,Magic Bounce,Reflects status moves instead of getting hit by them.,NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,65,75,70,95,70,95,470,0,0,0,1,0,1,2,75,Medium Fast,1000000,165,Flying,NULL,20,266,Level 25
179,Mareep,NULL,NULL,0.6,7.8,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,55,40,40,65,45,35,280,0,0,0,1,0,0,1,235,Medium Slow,1059860,56,Monster,Field,20,NULL,NULL
180,Flaaffy,NULL,NULL,0.8,13.3,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,70,55,55,80,60,45,365,0,0,0,2,0,0,2,120,Medium Slow,1059860,128,Monster,Field,20,278,Level 15
181,Ampharos,NULL,NULL,1.4,61.5,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,NULL,NULL,50,50,70,Gold / Silver / Crystal,Johto,90,75,85,115,90,55,510,0,0,0,3,0,0,3,45,Medium Slow,1059860,230,Monster,Field,20,279,Level 30
181,Ampharos,Mega,NULL,1.4,61.5,Electric,Dragon,Mold Breaker,Moves can be used on the target regardless of its Abilities.,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,X / Y,Kalos,90,95,105,165,110,45,610,0,0,0,3,0,0,3,45,Medium Slow,1059860,275,Monster,Field,20,NULL,NULL
